['time_signature', 4, 4, 0]
['note_on', 45, 0, 0]
['note_off', 45, 0.26666666666666666, 0]
['note_on', 48, 0.75, 0]
['note_on', 50, 1.0, 0]
['note_off', 48, 1.0041666666666667, 0]
['note_on', 52, 1.25, 0]
['note_off', 50, 1.2666666666666666, 0]
['note_off', 52, 1.3812499999999999, 0]
['note_on', 45, 1.75, 0]
['note_off', 45, 2.48125, 0]
['note_on', 43, 2.5, 0]
['note_off', 43, 2.9770833333333333, 0]
['note_on', 45, 3.0, 0]
['note_off', 45, 3.279166666666667, 0]
['note_on', 45, 4.0, 0]
['note_off', 45, 4.158333333333333, 0]
['note_on', 48, 4.75, 0]
['note_off', 48, 4.908333333333333, 0]
['note_on', 50, 5.0, 0]
['note_on', 52, 5.25, 0]
['note_off', 50, 5.252083333333333, 0]
['note_off', 52, 5.45, 0]
['note_on', 45, 5.75, 0]
['note_on', 48, 6.5, 0]
['note_off', 45, 6.508333333333334, 0]
['note_off', 48, 6.977083333333334, 0]
['note_on', 45, 7.0, 0]
['note_off', 45, 7.185416666666667, 0]
['note_on', 45, 8.0, 0]
['note_off', 45, 8.170833333333333, 0]
['note_on', 45, 8.25, 0]
['note_off', 45, 8.408333333333333, 0]
['note_on', 43, 8.75, 0]
['note_off', 43, 8.9625, 0]
['note_on', 45, 9.0, 0]
['note_off', 45, 9.158333333333333, 0]
['note_on', 45, 9.25, 0]
['note_off', 45, 9.383333333333333, 0]
['note_on', 43, 9.75, 0]
['note_off', 43, 9.977083333333333, 0]
['note_on', 45, 10.0, 0]
['note_off', 45, 10.158333333333333, 0]
['note_on', 45, 10.25, 0]
['note_off', 45, 10.40625, 0]
['note_on', 48, 10.75, 0]
['note_on', 50, 11.5, 0]
['note_off', 48, 11.508333333333333, 0]
['note_off', 50, 11.6875, 0]
['note_on', 45, 12.0, 0]
['note_off', 45, 12.145833333333334, 0]
['note_on', 45, 12.25, 0]
['note_off', 45, 12.395833333333334, 0]
['note_on', 43, 12.75, 0]
['note_off', 43, 12.991666666666667, 0]
['note_on', 45, 13.0, 0]
['note_off', 45, 13.183333333333334, 0]
['note_on', 45, 13.25, 0]
['note_off', 45, 13.408333333333333, 0]
['note_on', 43, 13.446875, 0]
['note_off', 43, 13.671875, 0]
['note_on', 45, 13.696875, 0]
['note_off', 45, 13.867708333333333, 0]
['note_on', 45, 13.946875, 0]
['note_off', 45, 14.171875, 0]
['note_on', 48, 14.196875, 0]
['note_on', 45, 14.446875, 0]
['note_off', 48, 14.463541666666668, 0]
['note_off', 45, 15.246875000000001, 0]
['note_on', 36, 15.696875, 9]
['note_off', 36, 15.821875, 9]
['note_on', 38, 16.196875, 9]
['note_off', 38, 16.446875, 9]
['note_on', 36, 16.446875, 9]
['note_off', 36, 16.76770833333333, 9]
['note_on', 36, 16.946875, 9]
['note_off', 36, 17.105208333333334, 9]
['note_on', 38, 17.196875, 9]
['note_off', 38, 17.407291666666666, 9]
['note_on', 36, 17.696875, 9]
['note_off', 36, 17.857291666666665, 9]
['note_on', 38, 18.196875, 9]
['note_on', 36, 18.446875, 9]
['note_off', 38, 18.448958333333334, 9]
['note_off', 36, 18.832291666666666, 9]
['note_on', 36, 18.946875, 9]
['note_off', 36, 19.17395833333333, 9]
['note_on', 38, 19.196875, 9]
['note_off', 38, 19.409374999999997, 9]
['note_on', 36, 19.446875, 9]
['note_off', 36, 19.538541666666664, 9]
['note_on', 36, 19.696875, 9]
['note_off', 36, 19.869791666666664, 9]
['note_on', 38, 20.196875, 9]
['note_on', 36, 20.446875, 9]
['note_off', 38, 20.448958333333334, 9]
['note_off', 36, 20.751041666666666, 9]
['note_on', 36, 20.946875, 9]
['note_off', 36, 21.08020833333333, 9]
['note_on', 38, 21.196875, 9]
['note_off', 38, 21.396874999999998, 9]
['note_on', 36, 21.696875, 9]
['note_off', 36, 21.867708333333333, 9]
['note_on', 38, 22.196875, 9]
['note_off', 38, 22.446875, 9]
['note_on', 36, 22.446875, 9]
['note_off', 36, 22.805208333333333, 9]
['note_on', 36, 22.946875, 9]
['note_off', 36, 23.067708333333332, 9]
['note_on', 38, 23.196875, 9]
['note_off', 38, 23.34270833333333, 9]
['note_on', 36, 23.696875, 9]
['note_off', 36, 23.803124999999998, 9]
['note_on', 36, 23.946875, 9]
['note_off', 36, 24.028125, 9]
['note_on', 38, 24.196875, 9]
['note_off', 38, 24.394791666666666, 9]
['note_on', 36, 24.446875, 9]
['note_off', 36, 24.565624999999997, 9]
['note_on', 36, 25.446875, 9]
['note_off', 36, 25.513541666666665, 9]
['note_on', 36, 25.696875, 9]
['note_off', 36, 25.815624999999997, 9]
['note_on', 36, 25.946875, 9]
['note_off', 36, 26.038541666666664, 9]
['note_on', 38, 26.196875, 9]
['note_off', 38, 26.409374999999997, 9]
['note_on', 36, 26.446875, 9]
['note_off', 36, 26.726041666666664, 9]
['note_on', 36, 26.946875, 9]
['note_off', 36, 27.013541666666665, 9]
['note_on', 38, 27.196875, 9]
['note_off', 38, 27.367708333333333, 9]
['note_on', 36, 27.446875, 9]
['note_off', 36, 27.538541666666664, 9]
['note_on', 36, 27.696875, 9]
['note_off', 36, 27.803124999999998, 9]
['note_on', 36, 27.946875, 9]
['note_off', 36, 28.028125, 9]
['note_on', 38, 28.196875, 9]
['note_off', 38, 28.394791666666666, 9]
['note_on', 36, 28.446875, 9]
['note_off', 36, 28.565624999999997, 9]
['note_on', 36, 29.446875, 9]
['note_off', 36, 29.448958333333334, 9]
['note_on', 36, 29.632291666666667, 9]
['note_off', 36, 29.751041666666666, 9]
['note_on', 36, 29.882291666666667, 9]
['note_off', 36, 29.973958333333332, 9]
['note_on', 38, 30.132291666666667, 9]
['note_off', 38, 30.344791666666666, 9]
['note_on', 36, 30.382291666666667, 9]
['note_off', 36, 30.661458333333332, 9]
['note_on', 36, 30.882291666666667, 9]
['note_off', 36, 30.948958333333334, 9]
['note_on', 38, 31.132291666666667, 9]
['note_off', 38, 31.303125, 9]
['note_on', 36, 31.382291666666667, 9]
['note_off', 36, 31.473958333333332, 9]
['note_on', 42, 31.632291666666667, 9]
['note_off', 42, 31.723958333333332, 9]
['note_on', 46, 31.882291666666667, 9]
['note_off', 46, 32.001041666666666, 9]
['note_on', 42, 32.13229166666667, 9]
['note_off', 42, 32.184375, 9]
['note_on', 46, 32.38229166666667, 9]
['note_off', 46, 32.526041666666664, 9]
['note_on', 42, 32.63229166666667, 9]
['note_off', 42, 32.709375, 9]
['note_on', 42, 32.88229166666667, 9]
['note_off', 42, 32.936458333333334, 9]
['note_on', 42, 33.00729166666667, 9]
['note_off', 42, 33.07395833333334, 9]
['note_on', 42, 33.13229166666667, 9]
['note_off', 42, 33.196875, 9]
['note_on', 42, 33.38229166666667, 9]
['note_off', 42, 33.421875, 9]
['note_on', 42, 33.50729166666667, 9]
['note_off', 42, 33.559375, 9]
['note_on', 42, 33.63229166666667, 9]
['note_off', 42, 33.709375, 9]
['note_on', 46, 33.88229166666667, 9]
['note_off', 46, 34.08020833333333, 9]
['note_on', 42, 34.13229166666667, 9]
['note_off', 42, 34.196875, 9]
['note_on', 46, 34.38229166666667, 9]
['note_off', 46, 34.58229166666667, 9]
['note_on', 42, 34.63229166666667, 9]
['note_off', 42, 34.709375, 9]
['note_on', 42, 34.88229166666667, 9]
['note_off', 42, 34.946875, 9]
['note_on', 42, 35.00729166666667, 9]
['note_off', 42, 35.071875, 9]
['note_on', 42, 35.13229166666667, 9]
['note_off', 42, 35.223958333333336, 9]
['note_on', 42, 35.38229166666667, 9]
['note_off', 42, 35.432291666666664, 9]
['note_on', 42, 35.50729166666667, 9]
['note_off', 42, 35.557291666666664, 9]
['note_on', 42, 35.63229166666667, 9]
['note_off', 42, 35.696875, 9]
['note_on', 46, 35.88229166666667, 9]
['note_off', 46, 36.065625, 9]
['note_on', 42, 36.13229166666667, 9]
['note_off', 42, 36.19895833333334, 9]
['note_on', 46, 36.38229166666667, 9]
['note_off', 46, 36.540625, 9]
['note_on', 42, 36.63229166666667, 9]
['note_off', 42, 36.69895833333334, 9]
['note_on', 42, 36.88229166666667, 9]
['note_off', 42, 36.91979166666667, 9]
['note_on', 42, 37.00729166666667, 9]
['note_off', 42, 37.059375, 9]
['note_on', 42, 37.13229166666667, 9]
['note_off', 42, 37.19479166666667, 9]
['note_on', 42, 37.38229166666667, 9]
['note_off', 42, 37.434375, 9]
['note_on', 42, 37.50729166666667, 9]
['note_off', 42, 37.557291666666664, 9]
['note_on', 42, 37.63229166666667, 9]
['note_off', 42, 37.684375, 9]
['note_on', 46, 37.88229166666667, 9]
